campaignId,jobId,attemptIdx,B_set,T_set,startedAt,endedAt,outcome,errorMessage,runFolder
"20260218_104740_9594","job_20260218_104743_0357","1","0","0","2026-02-18 10:47:51.157","2026-02-18 10:47:51.583","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104743_0357\Attempt_001"
"20260218_104740_9594","job_20260218_104743_8491","1","0","0","2026-02-18 10:47:51.631","2026-02-18 10:47:52.058","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104743_8491\Attempt_001"
"20260218_104740_9594","job_20260218_104743_9339","1","0","0","2026-02-18 10:47:52.113","2026-02-18 10:47:52.549","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104743_9339\Attempt_001"
"20260218_104740_9594","job_20260218_104743_6787","1","0","0","2026-02-18 10:47:52.598","2026-02-18 10:47:53.022","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104743_6787\Attempt_001"
"20260218_104740_9594","job_20260218_104743_7577","1","0","0","2026-02-18 10:48:39.168","2026-02-18 10:48:39.594","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104743_7577\Attempt_001"
"20260218_104740_9594","job_20260218_104743_7431","1","0","0","2026-02-18 10:48:39.637","2026-02-18 10:48:40.057","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104743_7431\Attempt_001"
"20260218_104740_9594","job_20260218_104744_3922","1","0","0","2026-02-18 10:48:40.109","2026-02-18 10:48:40.537","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104744_3922\Attempt_001"
"20260218_104740_9594","job_20260218_104744_6554","1","0","0","2026-02-18 10:48:40.593","2026-02-18 10:48:41.014","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104744_6554\Attempt_001"
"20260218_104740_9594","job_20260218_104744_1711","1","0","0","2026-02-18 10:48:41.053","2026-02-18 10:48:41.482","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104744_1711\Attempt_001"
"20260218_104740_9594","job_20260218_104744_7060","1","0","0","2026-02-18 10:48:41.527","2026-02-18 10:48:41.946","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104744_7060\Attempt_001"
"20260218_104740_9594","job_20260218_104744_0318","1","0","0","2026-02-18 10:48:41.984","2026-02-18 10:48:42.410","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104744_0318\Attempt_001"
"20260218_104740_9594","job_20260218_104744_2769","1","0","0","2026-02-18 10:48:42.465","2026-02-18 10:48:42.887","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104744_2769\Attempt_001"
"20260218_104740_9594","job_20260218_104745_0461","1","0","0","2026-02-18 10:48:42.935","2026-02-18 10:48:43.374","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_104751_20260218_104740_9594\Runs\Job_001_job_20260218_104745_0461\Attempt_001"
