IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2830000000 1.146105e+03 
2830400000 1.147409e+03 
2830800000 1.145985e+03 
2831200000 1.148035e+03 
2831600000 1.144280e+03 
2832000000 1.144936e+03 
2.832400e+09 1.143056e+03 
2832800000 1.144248e+03 
2833200000 1.143655e+03 
2833600000 1.144930e+03 
2834000000 1.144175e+03 
2834400000 1.144341e+03 
2834800000 1.145046e+03 
2835200000 1.145616e+03 
2835600000 1.144938e+03 
2.836000e+09 1.143880e+03 
2.836400e+09 1.143851e+03 
2836800000 1.140967e+03 
2837200000 1.140989e+03 
2837600000 1.140236e+03 
2838000000 1.139801e+03 
2838400000 1.143013e+03 
2838800000 1.141700e+03 
2839200000 1.140364e+03 
2839600000 1.138874e+03 
2840000000 1.139597e+03 
2.840400e+09 1.139028e+03 
2840800000 1.138858e+03 
2841200000 1.138282e+03 
2841600000 1.137188e+03 
2842000000 1.138373e+03 
2842400000 1.136290e+03 
2842800000 1.134674e+03 
2843200000 1.136733e+03 
2843600000 1.134282e+03 
2.844000e+09 1.134309e+03 
2.844400e+09 1.135292e+03 
2844800000 1.133489e+03 
2845200000 1.133147e+03 
2845600000 1.132739e+03 
2846000000 1.133172e+03 
2846400000 1.131757e+03 
2846800000 1.131823e+03 
2847200000 1.130555e+03 
2847600000 1.126108e+03 
2848000000 1.124757e+03 
2.848400e+09 1.125465e+03 
2848800000 1.123712e+03 
2849200000 1.125588e+03 
2849600000 1.122885e+03 
2850000000 1.122331e+03 
2850400000 1.121921e+03 
2850800000 1.119816e+03 
2851200000 1.117807e+03 
2851600000 1.117018e+03 
2.852000e+09 1.116583e+03 
2.852400e+09 1.114458e+03 
2852800000 1.112128e+03 
2853200000 1.108451e+03 
2853600000 1.109698e+03 
2854000000 1.106952e+03 
2854400000 1.103942e+03 
2854800000 1.103605e+03 
2855200000 1.102177e+03 
2855600000 1.100242e+03 
2856000000 1.097966e+03 
2.856400e+09 1.097385e+03 
2856800000 1.097321e+03 
2857200000 1.093409e+03 
2857600000 1.089453e+03 
2858000000 1.087124e+03 
2858400000 1.086166e+03 
2858800000 1.083302e+03 
2859200000 1.082072e+03 
2859600000 1.081266e+03 
2.860000e+09 1.080982e+03 
2.860400e+09 1.079766e+03 
2860800000 1.076755e+03 
2861200000 1.077092e+03 
2861600000 1.076735e+03 
2862000000 1.077634e+03 
2862400000 1.075885e+03 
2862800000 1.075862e+03 
2863200000 1.076271e+03 
2863600000 1.075145e+03 
2864000000 1.074817e+03 
2.864400e+09 1.075416e+03 
2864800000 1.074243e+03 
2865200000 1.075555e+03 
2865600000 1.079491e+03 
2866000000 1.079078e+03 
2866400000 1.080216e+03 
2866800000 1.083447e+03 
2867200000 1.084354e+03 
2867600000 1.085813e+03 
2.868000e+09 1.087148e+03 
2.868400e+09 1.088855e+03 
2.868800e+09 1.090025e+03 
2869200000 1.089138e+03 
2869600000 1.090689e+03 
2870000000 1.091311e+03 
2870400000 1.089743e+03 
2870800000 1.091091e+03 
2871200000 1.090097e+03 
2871600000 1.090122e+03 
2872000000 1.088034e+03 
2.872400e+09 1.086561e+03 
2.872800e+09 1.086334e+03 
2873200000 1.082423e+03 
2873600000 1.081795e+03 
2874000000 1.077732e+03 
2874400000 1.078556e+03 
2874800000 1.073837e+03 
2875200000 1.074662e+03 
2875600000 1.071520e+03 
2.876000e+09 1.071906e+03 
2.876400e+09 1.072005e+03 
2.876800e+09 1.070075e+03 
2877200000 1.070926e+03 
2877600000 1.073034e+03 
2878000000 1.071653e+03 
2878400000 1.070096e+03 
2878800000 1.071014e+03 
2879200000 1.073875e+03 
2879600000 1.071600e+03 
2880000000 1.071881e+03 
2.880400e+09 1.073465e+03 
2.880800e+09 1.076077e+03 
