IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2760000000 6.214830e+03 
2760350000 6.233050e+03 
2760700000 6.231970e+03 
2761050000 6.227150e+03 
2.761400e+09 6.235775e+03 
2.761750e+09 6.232035e+03 
2762100000 6.235330e+03 
2762450000 6.226670e+03 
2762800000 6.226655e+03 
2763150000 6.225905e+03 
2.763500e+09 6.234220e+03 
2.763850e+09 6.232100e+03 
2764200000 6.228850e+03 
2764550000 6.223780e+03 
2764900000 6.227380e+03 
2765250000 6.227690e+03 
2.765600e+09 6.230025e+03 
2.765950e+09 6.231930e+03 
2.766300e+09 6.232405e+03 
2766650000 6.224760e+03 
2767000000 6.229690e+03 
2767350000 6.225705e+03 
2.767700e+09 6.231290e+03 
2.768050e+09 6.220080e+03 
2.768400e+09 6.222820e+03 
2768750000 6.225210e+03 
2769100000 6.226900e+03 
2769450000 6.230170e+03 
2769800000 6.232140e+03 
2.770150e+09 6.232410e+03 
2.770500e+09 6.240055e+03 
2770850000 6.235985e+03 
2771200000 6.230170e+03 
2771550000 6.233415e+03 
2771900000 6.224065e+03 
2.772250e+09 6.227430e+03 
2.772600e+09 6.229065e+03 
2772950000 6.226705e+03 
2773300000 6.228365e+03 
2773650000 6.229275e+03 
2774000000 6.234660e+03 
2.774350e+09 6.228305e+03 
2.774700e+09 6.235020e+03 
2775050000 6.230715e+03 
2775400000 6.232655e+03 
2775750000 6.228895e+03 
2776100000 6.221085e+03 
2.776450e+09 6.229940e+03 
2.776800e+09 6.232395e+03 
2777150000 6.226705e+03 
2777500000 6.234140e+03 
2777850000 6.234880e+03 
2778200000 6.225790e+03 
2778550000 6.231405e+03 
2.778900e+09 6.229645e+03 
2779250000 6.227640e+03 
2779600000 6.233495e+03 
2779950000 6.223530e+03 
2780300000 6.234635e+03 
2780650000 6.228030e+03 
2.781000e+09 6.225060e+03 
2781350000 6.230715e+03 
2781700000 6.225330e+03 
2782050000 6.235310e+03 
2782400000 6.234995e+03 
2782750000 6.234970e+03 
2.783100e+09 6.236705e+03 
2.783450e+09 6.231825e+03 
2783800000 6.230720e+03 
2784150000 6.234860e+03 
2784500000 6.223985e+03 
2784850000 6.239965e+03 
2.785200e+09 6.223675e+03 
2.785550e+09 6.233545e+03 
2785900000 6.226510e+03 
2786250000 6.234740e+03 
2786600000 6.235240e+03 
2786950000 6.239480e+03 
2787300000 6.230215e+03 
2.787650e+09 6.229190e+03 
2788000000 6.235680e+03 
2788350000 6.233690e+03 
2788700000 6.226305e+03 
2789050000 6.231070e+03 
2789400000 6.231315e+03 
2.789750e+09 6.228550e+03 
2790100000 6.231580e+03 
2790450000 6.221380e+03 
2790800000 6.229025e+03 
2791150000 6.235445e+03 
2791500000 6.235345e+03 
2.791850e+09 6.225965e+03 
2792200000 6.222035e+03 
2792550000 6.232700e+03 
2792900000 6.227600e+03 
2793250000 6.219165e+03 
2793600000 6.226365e+03 
2.793950e+09 6.229540e+03 
2794300000 6.222750e+03 
2794650000 6.232910e+03 
2795000000 6.226405e+03 
2795350000 6.225610e+03 
2795700000 6.217675e+03 
2796050000 6.219890e+03 
2796400000 6.226675e+03 
2796750000 6.219270e+03 
2797100000 6.212035e+03 
2797450000 6.207385e+03 
2797800000 6.210275e+03 
2798150000 6.214215e+03 
2798500000 6.212325e+03 
2798850000 6.199165e+03 
2799200000 6.205630e+03 
2799550000 6.196800e+03 
2799900000 6.207825e+03 
2800250000 6.193790e+03 
2.800600e+09 6.201080e+03 
2800950000 6.196845e+03 
2801300000 6.201950e+03 
2801650000 6.194425e+03 
2802000000 6.201120e+03 
2802350000 6.193965e+03 
2.802700e+09 6.188030e+03 
2803050000 6.200540e+03 
2803400000 6.193705e+03 
2803750000 6.200125e+03 
2804100000 6.197380e+03 
2804450000 6.201150e+03 
