IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2770000000 2.897500e+01 
2.772000e+09 2.912500e+01 
2774000000 2.975000e+01 
2776000000 3.260000e+01 
2778000000 3.165000e+01 
2.780000e+09 3.077500e+01 
2782000000 2.840000e+01 
2784000000 3.215000e+01 
2786000000 3.215000e+01 
2.788000e+09 3.010000e+01 
2790000000 3.062500e+01 
2792000000 2.997500e+01 
2794000000 3.097500e+01 
2.796000e+09 3.052500e+01 
2798000000 2.925000e+01 
2800000000 2.917500e+01 
2802000000 3.062500e+01 
2.804000e+09 3.102500e+01 
2806000000 2.965000e+01 
2808000000 3.172500e+01 
2810000000 3.077500e+01 
2.812000e+09 3.080000e+01 
2814000000 3.065000e+01 
2816000000 2.940000e+01 
2818000000 2.970000e+01 
2.820000e+09 3.080000e+01 
2822000000 3.105000e+01 
2824000000 3.122500e+01 
2826000000 2.957500e+01 
2.828000e+09 3.047500e+01 
2830000000 3.052500e+01 
2832000000 3.162500e+01 
2834000000 2.945000e+01 
2.836000e+09 2.870000e+01 
2838000000 3.117500e+01 
2840000000 3.082500e+01 
2842000000 3.062500e+01 
2.844000e+09 2.982500e+01 
2846000000 3.062500e+01 
2848000000 2.985000e+01 
2850000000 3.007500e+01 
2852000000 3.072500e+01 
2854000000 31 
2.856000e+09 3.115000e+01 
2858000000 3.045000e+01 
2860000000 3.130000e+01 
2862000000 30 
2.864000e+09 3.002500e+01 
2866000000 3.015000e+01 
2868000000 3.167500e+01 
2870000000 3.060000e+01 
2.872000e+09 3.077500e+01 
2874000000 2.935000e+01 
2876000000 2.905000e+01 
2878000000 3.007500e+01 
2.880000e+09 3.115000e+01 
2882000000 2.970000e+01 
2884000000 3.025000e+01 
2886000000 3.122500e+01 
2.888000e+09 3.210000e+01 
2890000000 3.147500e+01 
2892000000 3.117500e+01 
2894000000 2.870000e+01 
2896000000 2.980000e+01 
2898000000 3.162500e+01 
2.900000e+09 3.007500e+01 
2902000000 3.120000e+01 
2904000000 2.830000e+01 
2906000000 2.872500e+01 
2.908000e+09 2.990000e+01 
2910000000 2.925000e+01 
2912000000 3.175000e+01 
2914000000 3.060000e+01 
2.916000e+09 3.010000e+01 
2918000000 3.162500e+01 
2920000000 2.960000e+01 
2922000000 3.162500e+01 
2.924000e+09 2.995000e+01 
2926000000 2.997500e+01 
2928000000 2.925000e+01 
2930000000 3.172500e+01 
2.932000e+09 2.995000e+01 
2934000000 2.952500e+01 
2936000000 2.955000e+01 
2938000000 3.177500e+01 
2.940000e+09 3.005000e+01 
2942000000 3.107500e+01 
2944000000 3.017500e+01 
2946000000 2.937500e+01 
2.948000e+09 3.187500e+01 
2950000000 3.122500e+01 
2952000000 3.072500e+01 
2954000000 3.080000e+01 
2.956000e+09 2.967500e+01 
2958000000 3.050000e+01 
2960000000 2.927500e+01 
2962000000 3.117500e+01 
2.964000e+09 3.157500e+01 
2966000000 3.210000e+01 
2968000000 2.927500e+01 
2970000000 2.977500e+01 

END
