DateTime	A	1
29-Mar-2021 23:54:29	80.038	26.4
29-Mar-2021 23:54:34	79.971	27.5
29-Mar-2021 23:54:39	79.971	27.6
29-Mar-2021 23:54:44	80.055	26.1
29-Mar-2021 23:54:49	80.032	26.4
29-Mar-2021 23:54:54	79.967	27.5
29-Mar-2021 23:54:59	79.965	27.6
29-Mar-2021 23:55:04	80.032	26.3
29-Mar-2021 23:55:09	80.044	26.3
29-Mar-2021 23:55:14	79.976	27.4
29-Mar-2021 23:55:19	79.966	27.6
29-Mar-2021 23:55:24	79.969	27.7
29-Mar-2021 23:55:29	80.049	26.2
29-Mar-2021 23:55:34	80.005	27.5
29-Mar-2021 23:55:39	79.965	27.6
29-Mar-2021 23:55:44	79.969	27.6
29-Mar-2021 23:55:49	80.054	26.2
29-Mar-2021 23:55:54	80.037	26.2
29-Mar-2021 23:55:59	79.954	27.8
29-Mar-2021 23:56:04	79.966	27.7
29-Mar-2021 23:56:09	80.042	26.3
29-Mar-2021 23:56:14	80.045	26.2
29-Mar-2021 23:56:19	79.969	27.4
29-Mar-2021 23:56:24	79.973	27.6
29-Mar-2021 23:56:29	80.028	26.4
29-Mar-2021 23:56:34	80.038	26.4
29-Mar-2021 23:56:39	79.954	27.9
29-Mar-2021 23:56:44	79.962	27.7
29-Mar-2021 23:56:49	79.975	27.6
29-Mar-2021 23:56:54	80.049	26.2
29-Mar-2021 23:56:59	79.996	27.5
29-Mar-2021 23:57:04	79.963	27.7
29-Mar-2021 23:57:09	79.975	27.5
29-Mar-2021 23:57:14	80.05	26.2
29-Mar-2021 23:57:19	80.035	26.2
29-Mar-2021 23:57:24	79.957	27.7
29-Mar-2021 23:57:29	79.97	27.5
29-Mar-2021 23:57:34	80.052	26.2
29-Mar-2021 23:57:39	80.046	26.2
29-Mar-2021 23:57:44	79.951	27.8
29-Mar-2021 23:57:49	79.961	27.7
29-Mar-2021 23:57:54	80.043	26.2
29-Mar-2021 23:57:59	80.036	26.4
29-Mar-2021 23:58:04	79.963	27.7
29-Mar-2021 23:58:09	79.959	27.8
29-Mar-2021 23:58:14	79.984	26.6
29-Mar-2021 23:58:19	80.044	26.4
29-Mar-2021 23:58:24	79.988	27.6
29-Mar-2021 23:58:29	79.96	27.8
29-Mar-2021 23:58:34	79.965	27.9
29-Mar-2021 23:58:39	80.046	26.3
29-Mar-2021 23:58:44	80.041	26.4
29-Mar-2021 23:58:49	79.959	27.8
29-Mar-2021 23:58:54	79.973	27.7
29-Mar-2021 23:58:59	80.042	26.4
29-Mar-2021 23:59:04	80.045	26.3
29-Mar-2021 23:59:09	79.968	27.5
29-Mar-2021 23:59:14	79.969	27.8
29-Mar-2021 23:59:19	80.039	26.4
29-Mar-2021 23:59:24	80.044	26.4
29-Mar-2021 23:59:29	79.956	27.8
29-Mar-2021 23:59:34	79.974	27.6
29-Mar-2021 23:59:39	80.011	26.2
29-Mar-2021 23:59:44	80.058	25.9
29-Mar-2021 23:59:49	79.977	27.7
29-Mar-2021 23:59:54	79.96	27.7
29-Mar-2021 23:59:59	79.965	27.8
30-Mar-2021 00:00:04	80.052	26.3
30-Mar-2021 00:00:09	80.031	26.5
30-Mar-2021 00:00:14	79.954	27.9
30-Mar-2021 00:00:19	79.973	27.6
30-Mar-2021 00:00:24	80.05	26.4
30-Mar-2021 00:00:29	80.038	26.5
30-Mar-2021 00:00:34	79.958	27.8
30-Mar-2021 00:00:39	79.968	27.8
30-Mar-2021 00:00:44	80.044	26.3
30-Mar-2021 00:00:49	80.038	26.4
30-Mar-2021 00:00:54	79.96	27.7
30-Mar-2021 00:00:59	79.963	27.8
30-Mar-2021 00:01:04	79.997	26.5
30-Mar-2021 00:01:09	80.051	26.2
30-Mar-2021 00:01:14	79.988	27.6
30-Mar-2021 00:01:19	79.965	27.7
30-Mar-2021 00:01:24	79.973	27.7
30-Mar-2021 00:01:29	80.051	26.3
30-Mar-2021 00:01:34	80.046	26.2
30-Mar-2021 00:01:39	79.963	27.7
30-Mar-2021 00:01:44	79.97	27.6
30-Mar-2021 00:01:49	80.044	26.4
30-Mar-2021 00:01:54	80.043	26.3
30-Mar-2021 00:01:59	79.953	27.8
30-Mar-2021 00:02:04	79.966	27.7
30-Mar-2021 00:02:09	80.05	26.2
30-Mar-2021 00:02:14	80.034	26.6
30-Mar-2021 00:02:19	79.965	27.7
30-Mar-2021 00:02:24	79.966	27.7
30-Mar-2021 00:02:29	80.002	26.5
30-Mar-2021 00:02:34	80.047	26.4
30-Mar-2021 00:02:39	79.993	27.4
30-Mar-2021 00:02:44	79.969	27.6
30-Mar-2021 00:02:49	79.978	27.5
30-Mar-2021 00:02:54	80.041	26.3
30-Mar-2021 00:02:59	80.031	26.4
30-Mar-2021 00:03:04	79.954	27.9
30-Mar-2021 00:03:09	79.964	27.8
30-Mar-2021 00:03:14	80.044	26.5
30-Mar-2021 00:03:19	80.044	26.4
30-Mar-2021 00:03:24	79.959	27.8
30-Mar-2021 00:03:29	79.968	27.7
30-Mar-2021 00:03:34	80.043	26.4
30-Mar-2021 00:03:39	80.039	26.5
30-Mar-2021 00:03:44	79.958	27.9
30-Mar-2021 00:03:49	79.967	27.8
30-Mar-2021 00:03:54	80.019	26.5
30-Mar-2021 00:03:59	80.058	26.2
30-Mar-2021 00:04:04	79.986	27.5
30-Mar-2021 00:04:09	79.958	27.7
30-Mar-2021 00:04:14	79.971	27.7
30-Mar-2021 00:04:19	80.045	26.4
30-Mar-2021 00:04:24	80.033	26.2
30-Mar-2021 00:04:29	79.954	27.9
30-Mar-2021 00:04:34	79.963	27.9
30-Mar-2021 00:04:39	80.049	26.4
30-Mar-2021 00:04:44	80.044	26.3
30-Mar-2021 00:04:49	79.958	27.8
30-Mar-2021 00:04:54	79.962	27.9
30-Mar-2021 00:04:59	80.045	26.4
30-Mar-2021 00:05:04	80.043	26.4
30-Mar-2021 00:05:09	79.959	27.7
30-Mar-2021 00:05:14	79.966	27.7
30-Mar-2021 00:05:19	80.01	26.6
30-Mar-2021 00:05:24	80.047	26.3
30-Mar-2021 00:05:29	79.981	27.6
30-Mar-2021 00:05:34	79.964	27.7
30-Mar-2021 00:05:39	79.973	27.7
30-Mar-2021 00:05:44	80.053	26.2
