timestamp,ix, iy, x_um,y_um,file
2026-01-03T10:58:07.045,0,0,4505.600,3406.600,D:\Data\2026-1-3\Image_2026-1-3_Img0010.txt
2026-01-03T10:58:31.066,0,1,4505.600,3507.971,D:\Data\2026-1-3\Image_2026-1-3_Img0011.txt
2026-01-03T10:58:53.643,0,2,4505.600,3609.343,D:\Data\2026-1-3\Image_2026-1-3_Img0012.txt
2026-01-03T10:59:12.774,0,3,4505.600,3710.714,D:\Data\2026-1-3\Image_2026-1-3_Img0013.txt
2026-01-03T10:59:31.907,0,4,4505.600,3812.086,D:\Data\2026-1-3\Image_2026-1-3_Img0014.txt
2026-01-03T10:59:50.833,0,5,4505.600,3913.457,D:\Data\2026-1-3\Image_2026-1-3_Img0015.txt
2026-01-03T11:00:10.853,0,6,4505.600,4014.829,D:\Data\2026-1-3\Image_2026-1-3_Img0016.txt
2026-01-03T11:00:31.134,0,7,4505.600,4116.200,D:\Data\2026-1-3\Image_2026-1-3_Img0017.txt
2026-01-03T11:00:49.841,0,8,4505.600,4217.571,D:\Data\2026-1-3\Image_2026-1-3_Img0018.txt
2026-01-03T11:01:09.825,0,9,4505.600,4318.943,D:\Data\2026-1-3\Image_2026-1-3_Img0019.txt
2026-01-03T11:01:28.412,0,10,4505.600,4420.314,D:\Data\2026-1-3\Image_2026-1-3_Img0020.txt
2026-01-03T11:01:47.562,0,11,4505.600,4521.686,D:\Data\2026-1-3\Image_2026-1-3_Img0021.txt
2026-01-03T11:02:07.523,0,12,4505.600,4623.057,D:\Data\2026-1-3\Image_2026-1-3_Img0022.txt
2026-01-03T11:02:25.941,0,13,4505.600,4724.429,D:\Data\2026-1-3\Image_2026-1-3_Img0023.txt
2026-01-03T11:02:46.872,0,14,4505.600,4825.800,D:\Data\2026-1-3\Image_2026-1-3_Img0024.txt
2026-01-03T11:03:08.028,1,14,4399.143,4825.800,D:\Data\2026-1-3\Image_2026-1-3_Img0025.txt
2026-01-03T11:03:27.537,1,13,4399.143,4724.429,D:\Data\2026-1-3\Image_2026-1-3_Img0026.txt
2026-01-03T11:03:52.450,1,12,4399.143,4623.057,D:\Data\2026-1-3\Image_2026-1-3_Img0027.txt
2026-01-03T11:04:14.041,1,11,4399.143,4521.686,D:\Data\2026-1-3\Image_2026-1-3_Img0028.txt
2026-01-03T11:04:33.879,1,10,4399.143,4420.314,D:\Data\2026-1-3\Image_2026-1-3_Img0029.txt
2026-01-03T11:04:52.885,1,9,4399.143,4318.943,D:\Data\2026-1-3\Image_2026-1-3_Img0030.txt
2026-01-03T11:05:12.226,1,8,4399.143,4217.571,D:\Data\2026-1-3\Image_2026-1-3_Img0031.txt
2026-01-03T11:05:33.033,1,7,4399.143,4116.200,D:\Data\2026-1-3\Image_2026-1-3_Img0032.txt
2026-01-03T11:05:52.190,1,6,4399.143,4014.829,D:\Data\2026-1-3\Image_2026-1-3_Img0033.txt
2026-01-03T11:06:12.858,1,5,4399.143,3913.457,D:\Data\2026-1-3\Image_2026-1-3_Img0034.txt
2026-01-03T11:06:31.570,1,4,4399.143,3812.086,D:\Data\2026-1-3\Image_2026-1-3_Img0035.txt
2026-01-03T11:06:51.075,1,3,4399.143,3710.714,D:\Data\2026-1-3\Image_2026-1-3_Img0036.txt
2026-01-03T11:07:09.987,1,2,4399.143,3609.343,D:\Data\2026-1-3\Image_2026-1-3_Img0037.txt
2026-01-03T11:07:29.216,1,1,4399.143,3507.971,D:\Data\2026-1-3\Image_2026-1-3_Img0038.txt
2026-01-03T11:07:49.180,1,0,4399.143,3406.600,D:\Data\2026-1-3\Image_2026-1-3_Img0039.txt
2026-01-03T11:08:09.014,2,0,4292.686,3406.600,D:\Data\2026-1-3\Image_2026-1-3_Img0040.txt
2026-01-03T11:08:32.142,2,1,4292.686,3507.971,D:\Data\2026-1-3\Image_2026-1-3_Img0041.txt
2026-01-03T11:08:50.997,2,2,4292.686,3609.343,D:\Data\2026-1-3\Image_2026-1-3_Img0042.txt
2026-01-03T11:09:10.353,2,3,4292.686,3710.714,D:\Data\2026-1-3\Image_2026-1-3_Img0043.txt
2026-01-03T11:09:29.833,2,4,4292.686,3812.086,D:\Data\2026-1-3\Image_2026-1-3_Img0044.txt
2026-01-03T11:09:52.262,2,5,4292.686,3913.457,D:\Data\2026-1-3\Image_2026-1-3_Img0045.txt
2026-01-03T11:10:11.416,2,6,4292.686,4014.829,D:\Data\2026-1-3\Image_2026-1-3_Img0046.txt
2026-01-03T11:10:30.376,2,7,4292.686,4116.200,D:\Data\2026-1-3\Image_2026-1-3_Img0047.txt
2026-01-03T11:10:50.194,2,8,4292.686,4217.571,D:\Data\2026-1-3\Image_2026-1-3_Img0048.txt
2026-01-03T11:11:09.513,2,9,4292.686,4318.943,D:\Data\2026-1-3\Image_2026-1-3_Img0049.txt
2026-01-03T11:11:28.607,2,10,4292.686,4420.314,D:\Data\2026-1-3\Image_2026-1-3_Img0050.txt
2026-01-03T11:11:48.483,2,11,4292.686,4521.686,D:\Data\2026-1-3\Image_2026-1-3_Img0051.txt
2026-01-03T11:12:08.105,2,12,4292.686,4623.057,D:\Data\2026-1-3\Image_2026-1-3_Img0052.txt
2026-01-03T11:12:26.625,2,13,4292.686,4724.429,D:\Data\2026-1-3\Image_2026-1-3_Img0053.txt
2026-01-03T11:12:46.115,2,14,4292.686,4825.800,D:\Data\2026-1-3\Image_2026-1-3_Img0054.txt
2026-01-03T11:13:07.898,3,14,4186.229,4825.800,D:\Data\2026-1-3\Image_2026-1-3_Img0055.txt
2026-01-03T11:13:27.016,3,13,4186.229,4724.429,D:\Data\2026-1-3\Image_2026-1-3_Img0056.txt
2026-01-03T11:13:45.969,3,12,4186.229,4623.057,D:\Data\2026-1-3\Image_2026-1-3_Img0057.txt
2026-01-03T11:14:05.256,3,11,4186.229,4521.686,D:\Data\2026-1-3\Image_2026-1-3_Img0058.txt
2026-01-03T11:14:24.575,3,10,4186.229,4420.314,D:\Data\2026-1-3\Image_2026-1-3_Img0059.txt
2026-01-03T11:14:43.327,3,9,4186.229,4318.943,D:\Data\2026-1-3\Image_2026-1-3_Img0060.txt
2026-01-03T11:15:02.824,3,8,4186.229,4217.571,D:\Data\2026-1-3\Image_2026-1-3_Img0061.txt
2026-01-03T11:15:23.977,3,7,4186.229,4116.200,D:\Data\2026-1-3\Image_2026-1-3_Img0062.txt
2026-01-03T11:15:43.556,3,6,4186.229,4014.829,D:\Data\2026-1-3\Image_2026-1-3_Img0063.txt
2026-01-03T11:16:15.461,3,5,4186.229,3913.457,D:\Data\2026-1-3\Image_2026-1-3_Img0064.txt
2026-01-03T11:16:34.966,3,4,4186.229,3812.086,D:\Data\2026-1-3\Image_2026-1-3_Img0065.txt
2026-01-03T11:16:54.624,3,3,4186.229,3710.714,D:\Data\2026-1-3\Image_2026-1-3_Img0066.txt
2026-01-03T11:17:14.977,3,2,4186.229,3609.343,D:\Data\2026-1-3\Image_2026-1-3_Img0067.txt
