timestamp,ix,iy,file
2025-11-06T12:33:54.597,0,0,D:\Data\2025-11-6\Image_2025-11-6_Img0230.txt
2025-11-06T12:34:10.405,0,1,D:\Data\2025-11-6\Image_2025-11-6_Img0231.txt
2025-11-06T12:34:26.035,0,2,D:\Data\2025-11-6\Image_2025-11-6_Img0232.txt
2025-11-06T12:34:42.150,0,3,D:\Data\2025-11-6\Image_2025-11-6_Img0233.txt
2025-11-06T12:34:58.802,0,4,D:\Data\2025-11-6\Image_2025-11-6_Img0234.txt
2025-11-06T12:35:14.694,1,4,D:\Data\2025-11-6\Image_2025-11-6_Img0235.txt
2025-11-06T12:35:30.621,1,3,D:\Data\2025-11-6\Image_2025-11-6_Img0236.txt
2025-11-06T12:35:46.367,1,2,D:\Data\2025-11-6\Image_2025-11-6_Img0237.txt
2025-11-06T12:36:01.976,1,1,D:\Data\2025-11-6\Image_2025-11-6_Img0238.txt
2025-11-06T12:36:17.973,1,0,D:\Data\2025-11-6\Image_2025-11-6_Img0239.txt
2025-11-06T12:36:33.819,2,0,D:\Data\2025-11-6\Image_2025-11-6_Img0240.txt
2025-11-06T12:36:49.777,2,1,D:\Data\2025-11-6\Image_2025-11-6_Img0241.txt
2025-11-06T12:37:05.696,2,2,D:\Data\2025-11-6\Image_2025-11-6_Img0242.txt
2025-11-06T12:37:21.910,2,3,D:\Data\2025-11-6\Image_2025-11-6_Img0243.txt
2025-11-06T12:37:38.037,2,4,D:\Data\2025-11-6\Image_2025-11-6_Img0244.txt
2025-11-06T12:37:53.967,3,4,D:\Data\2025-11-6\Image_2025-11-6_Img0245.txt
2025-11-06T12:38:09.634,3,3,D:\Data\2025-11-6\Image_2025-11-6_Img0246.txt
2025-11-06T12:38:25.336,3,2,D:\Data\2025-11-6\Image_2025-11-6_Img0247.txt
2025-11-06T12:38:41.974,3,1,D:\Data\2025-11-6\Image_2025-11-6_Img0248.txt
2025-11-06T12:38:58.098,3,0,D:\Data\2025-11-6\Image_2025-11-6_Img0249.txt
2025-11-06T12:39:13.740,4,0,D:\Data\2025-11-6\Image_2025-11-6_Img0250.txt
2025-11-06T12:39:29.826,4,1,D:\Data\2025-11-6\Image_2025-11-6_Img0251.txt
2025-11-06T12:39:45.304,4,2,D:\Data\2025-11-6\Image_2025-11-6_Img0252.txt
2025-11-06T12:40:00.728,4,3,D:\Data\2025-11-6\Image_2025-11-6_Img0253.txt
2025-11-06T12:40:16.240,4,4,D:\Data\2025-11-6\Image_2025-11-6_Img0254.txt
