index,targetBkG,bEstimateG,v21StartedAt,mode
1,0.02,20,"2026-02-26 19:08:00.297","driven"
2,0.03,30,"2026-02-26 19:14:32.472","driven"
3,0.04,40,"2026-02-26 19:21:27.698","driven"
4,0.05,50,"2026-02-26 19:28:39.225","driven"
5,0.06,60,"2026-02-26 19:36:19.361","driven"
6,0.07,70,"2026-02-26 19:44:21.589","driven"
7,0.08,80,"2026-02-26 19:52:25.299","driven"
8,0.09,90,"2026-02-26 20:01:00.125","driven"
9,0.1,100,"2026-02-26 20:09:45.180","driven"
10,0.12,120,"2026-02-26 20:18:13.599","driven"
11,0.14,140,"2026-02-26 20:26:36.760","driven"
12,0.16,160,"2026-02-26 20:35:19.805","driven"
13,0.18,180,"2026-02-26 20:43:19.808","driven"
14,0.2,200,"2026-02-26 20:51:40.948","driven"
15,0.22,220,"2026-02-26 21:00:09.826","driven"
16,0.24,240,"2026-02-26 21:08:28.665","driven"
17,0.26,260,"2026-02-26 21:16:41.381","driven"
18,0.28,280,"2026-02-26 21:25:00.306","driven"
19,0.3,300,"2026-02-26 21:33:24.991","driven"
